"Protocol","Percent Packets","Packets","Percent Bytes","Bytes","Bits/s","End Packets","End Bytes","End Bits/s","PDUs"
"Frame",100,189166,100,188779811,2317580.2001101533,0,0,0,189166
"Ethernet",100,189166,1.4028639958750673,2648324,32512.498202874678,0,0,0,189166
"Internet Protocol Version 6",85.81669010287261,162336,3.4403170368678886,6494624,79732.1064674665,0,0,0,162336
"User Datagram Protocol",9.567258386813698,18098,0.07669464188625552,144784,1777.459834901246,0,0,0,18098
"QUIC IETF",8.60038273262637,16269,5.8040692709455035,10956911,134513.96022411072,16269,10843191,133117.86167437476,16634
"Multicast Domain Name System",0.00581499846695495,11,0.0006054672869653418,1143,14.032189960852886,11,1143,14.032189960852886,11
"Domain Name System",0.14854677901948554,281,0.012859955665492218,24277,298.0397862463915,281,24277,298.0397862463915,281
"Data",0.812513876700887,1537,0.29031176432314576,548050,6728.207968543677,1537,548050,6728.207968543677,1537
"Transmission Control Protocol",76.17013628241861,144088,1.6017051738652286,3023696,37120.801973640446,99674,2135416,26215.715623311135,144088
"Transport Layer Security",23.01259211486208,43532,74.41989281364414,140489733,1724740.7007922155,43524,134921864,1656386.024077304,44017
"Hypertext Transfer Protocol",0.01480181427952169,28,1.1060361745992002,2087973,25633.275388566824,15,7687,94.37046739201762,28
"Media Type",0.00581499846695495,11,1.0961124439307761,2069239,25403.284971483172,11,2069239,25403.284971483172,11
"HTML Form URL Encoded",0.0010572724485372635,2,0.0021538320111995453,4066,49.91678423519495,2,4066,49.91678423519495,2
"Data",0.4556844253195606,862,0.37864165464176675,714799,8775.324017347053,862,714799,8775.324017347053,862
"Internet Control Message Protocol v6",0.04017635304441602,76,0.0013052243176575697,2464,30.249620353054688,76,2464,30.249620353054688,76
"Data",0.03911908059587875,74,0.019166244424304462,36182,444.1930858823964,74,36182,444.1930858823964,74
"Internet Protocol Version 4",14.151591723671272,26770,0.2836108359066002,535400,6572.908578338263,0,0,0,26770
"User Datagram Protocol",0.8209720562891851,1553,0.006581212225072098,12424,152.52487145549978,0,0,0,1553
"Simple Service Discovery Protocol",0.003171817345611791,6,0.00039728824604025055,750,9.207473727593756,6,750,9.207473727593756,6
"Session Traversal Utilities for NAT",0.053920894875400444,102,0.0016103416906164823,3040,37.32096017584669,102,3040,37.32096017584669,102
"QUIC IETF",0.16863495554169353,319,0.07088257970551734,133812,1642.7606325823676,319,126925,1558.2114704997834,346
"Network Time Protocol",0.0116299969339099,22,0.0005593818504246728,1056,12.96412300845201,22,1056,12.96412300845201,22
"Multicast Domain Name System",0.00581499846695495,11,0.0006054672869653418,1143,14.032189960852886,11,1143,14.032189960852886,11
"Domain Name System",0.5651121237431673,1069,0.07906989587991482,149268,1832.50825116062,1027,100136,1229.3327855817713,1069
"Malformed Packet",0.022202721419282534,42,0,0,0,42,0,0,42
"Transmission Control Protocol",13.324804668915133,25206,0.2975975010378626,561804,6897.0607600761105,22387,505244,6202.694474699173,25206
"Transport Layer Security",1.0287260924267574,1946,2.431992052370473,4591110,56363.36627399063,1946,3863255,47427.758553993626,2049
"Hypertext Transfer Protocol",0.4160367084994132,787,7.598278610417721,14344016,176096.20062424598,726,875110,10743.403111672764,787
"MIME Multipart Media Encapsulation",0.004229089794149054,8,0.005927540630920538,11190,137.37550801569884,8,11190,137.37550801569884,8
"Media Type",0.015859086728058955,30,7.1196945948844075,13440546,165004.6322393538,30,13440546,165004.6322393538,30
"HTML Form URL Encoded",0.0037004535698804226,7,0.0017427711059632325,3290,40.39011808504461,7,3290,40.39011808504461,7
"Data",0.07242316272480255,137,0.024561418805531064,46367,569.2305791031197,137,46367,569.2305791031197,137
"Address Resolution Protocol",0.03171817345611791,60,0.0008899256711301613,1680,20.624741149810017,60,1680,20.624741149810017,60
